period,order_quantity
1,550.0
2,250.0
3,260.0
4,550.0
5,250.0
6,282.0
7,766.0
8,767.0
9,920.0
10,1150.0
11,1064.0
12,1344.0
13,1137.0
14,1581.0
15,1376.0
16,1975.0
17,1500.0
18,1754.0
19,1893.0
20,2186.0
21,1875.0
22,1895.0
23,2450.0
24,2749.0
25,2460.0
26,2059.0
27,2527.0
28,2715.0
29,2833.0
30,3150.0
31,2916.0
32,3437.0
33,2797.0
34,3532.0
35,3213.0
36,3590.0
37,4000.0
38,3643.0
39,3021.0
40,4000.0
41,4400.0
42,4310.0
43,4621.0
44,3946.0
45,4388.0
46,4507.0
47,4466.0
48,4368.0
49,5000.0
50,5400.0
