period,order_quantity
1,650.0
2,350.0
3,0.0
4,430.0
5,776.0
6,157.0
7,786.0
8,450.0
9,900.0
10,881.0
11,1150.0
12,1336.0
13,1502.0
14,1075.0
15,1517.0
16,1536.0
17,1728.0
18,1436.0
19,2000.0
20,1700.0
21,2200.0
22,2201.0
23,2495.0
24,2086.0
25,2650.0
26,2579.0
27,2507.0
28,2458.0
29,3100.0
30,3109.0
31,3004.0
32,3252.0
33,3101.0
34,3600.0
35,3383.0
36,3850.0
37,3357.0
38,4000.0
39,4300.0
40,3993.0
41,3681.0
42,4000.0
43,4196.0
44,4800.0
45,4470.0
46,4800.0
47,4443.0
48,5200.0
49,5020.0
50,4031.0
