period,order_quantity
1,1350.0
2,400.0
3,0.0
4,100.0
5,800.0
6,700.0
7,2000.0
8,500.0
9,800.0
10,400.0
11,1500.0
12,1650.0
13,1800.0
14,2000.0
15,2500.0
16,1700.0
17,1800.0
18,1200.0
19,2130.0
20,2500.0
21,2500.0
22,2500.0
23,4500.0
24,4500.0
25,4500.0
26,4500.0
27,4500.0
28,4500.0
29,4500.0
30,4500.0
31,4500.0
32,4500.0
33,4500.0
34,4500.0
35,4500.0
36,4500.0
37,4500.0
38,4500.0
39,4500.0
40,4500.0
41,4500.0
42,4500.0
43,4500.0
44,4500.0
45,4500.0
46,4500.0
47,4500.0
48,4500.0
49,4500.0
50,0.0
