period,order_quantity
1,581.0
2,105.0
3,196.0
4,330.0
5,306.0
6,508.0
7,600.0
8,667.0
9,750.0
10,851.0
11,946.0
12,1063.0
13,1136.0
14,1249.0
15,1326.0
16,1460.0
17,1541.0
18,1633.0
19,1727.0
20,1838.0
21,1914.0
22,1996.0
23,2098.0
24,2220.0
25,2326.0
26,2381.0
27,2476.0
28,2560.0
29,2654.0
30,2758.0
31,2845.0
32,2952.0
33,2968.0
34,3130.0
35,3215.0
36,3318.0
37,3436.0
38,3533.0
39,3436.0
40,3693.0
41,3807.0
42,3911.0
43,4033.0
44,4114.0
45,4216.0
46,4310.0
47,4402.0
48,4488.0
49,4592.0
50,4706.0
