[2026-02-07 21:57:06] Starting parallel batch run
[2026-02-07 21:57:06] Instances to process: 188
[2026-02-07 21:57:06] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_215706.txt
[2026-02-07 21:57:06] 
Starting 188 instances with 20 parallel workers...
[2026-02-07 22:02:42] [1/188] SUCCESS: 396135007
[2026-02-07 22:02:58] [2/188] SUCCESS: 294008002
[2026-02-07 22:03:02] [3/188] SUCCESS: 399223035
[2026-02-07 22:03:18] [4/188] SUCCESS: 305931001
[2026-02-07 22:03:27] [5/188] SUCCESS: 316441001
[2026-02-07 22:03:28] [6/188] SUCCESS: 253448003
[2026-02-07 22:03:34] [7/188] SUCCESS: 372860001
[2026-02-07 22:03:35] [8/188] SUCCESS: 372860024
[2026-02-07 22:03:36] [9/188] SUCCESS: 224606019
[2026-02-07 22:03:40] [10/188] SUCCESS: 399087030
[2026-02-07 22:03:44] [11/188] SUCCESS: 399061008
[2026-02-07 22:03:47] [12/188] SUCCESS: 399223034
[2026-02-07 22:03:48] [13/188] SUCCESS: 372860002
[2026-02-07 22:03:50] [14/188] SUCCESS: 399087021
[2026-02-07 22:03:56] [15/188] SUCCESS: 399223033
[2026-02-07 22:03:56] [16/188] SUCCESS: 253448001
[2026-02-07 22:03:57] [17/188] SUCCESS: 399087014
[2026-02-07 22:03:58] [18/188] SUCCESS: 399223001
[2026-02-07 22:04:01] [19/188] SUCCESS: 189634001
[2026-02-07 22:04:17] [20/188] SUCCESS: 243937001
[2026-02-07 22:09:23] [21/188] SUCCESS: 399256023
[2026-02-07 22:09:24] [22/188] SUCCESS: 399256018
[2026-02-07 22:09:35] [23/188] SUCCESS: 464297007
[2026-02-07 22:09:43] [24/188] SUCCESS: 399256032
[2026-02-07 22:09:57] [25/188] SUCCESS: 464908002
[2026-02-07 22:10:00] [26/188] SUCCESS: 399256005
[2026-02-07 22:10:03] [27/188] SUCCESS: 465655010
[2026-02-07 22:10:08] [28/188] SUCCESS: 457892003
[2026-02-07 22:10:13] [29/188] SUCCESS: 458239001
[2026-02-07 22:10:15] [30/188] SUCCESS: 399256001
[2026-02-07 22:10:20] [31/188] SUCCESS: 487722001
[2026-02-07 22:10:25] [32/188] SUCCESS: 506098007
[2026-02-07 22:10:26] [33/188] SUCCESS: 473954008
[2026-02-07 22:11:07] [34/188] SUCCESS: 507883014
[2026-02-07 22:11:10] [35/188] SUCCESS: 470789001
[2026-02-07 22:11:13] [36/188] SUCCESS: 507883009
[2026-02-07 22:11:18] [37/188] SUCCESS: 507909001
[2026-02-07 22:11:29] [38/188] SUCCESS: 465655019
[2026-02-07 22:12:28] [39/188] SUCCESS: 448509014
[2026-02-07 22:12:46] [40/188] SUCCESS: 448509001
[2026-02-07 22:16:04] [41/188] SUCCESS: 516903005
[2026-02-07 22:16:11] [42/188] SUCCESS: 507909003
[2026-02-07 22:16:23] [43/188] SUCCESS: 516859008
[2026-02-07 22:16:23] [44/188] SUCCESS: 538699007
[2026-02-07 22:16:35] [45/188] SUCCESS: 538699001
[2026-02-07 22:16:43] [46/188] SUCCESS: 536139010
[2026-02-07 22:16:52] [47/188] SUCCESS: 554450001
[2026-02-07 22:16:53] [48/188] SUCCESS: 536139006
[2026-02-07 22:17:05] [49/188] SUCCESS: 554450036
[2026-02-07 22:17:34] [50/188] SUCCESS: 554598038
[2026-02-07 22:17:35] [51/188] SUCCESS: 547780001
[2026-02-07 22:17:38] [52/188] SUCCESS: 554598047
[2026-02-07 22:17:39] [53/188] SUCCESS: 554477005
[2026-02-07 22:17:43] [54/188] SUCCESS: 554450027
[2026-02-07 22:17:46] [55/188] SUCCESS: 554479001
[2026-02-07 22:17:55] [56/188] SUCCESS: 554450004
[2026-02-07 22:18:00] [57/188] SUCCESS: 554450019
[2026-02-07 22:18:31] [58/188] SUCCESS: 554598057
[2026-02-07 22:19:39] [59/188] SUCCESS: 554598001
[2026-02-07 22:19:40] [60/188] SUCCESS: 554772002
[2026-02-07 22:22:35] [61/188] SUCCESS: 554792001
[2026-02-07 22:22:44] [62/188] SUCCESS: 554772003
[2026-02-07 22:22:52] [63/188] SUCCESS: 562245018
[2026-02-07 22:23:08] [64/188] SUCCESS: 561445006
[2026-02-07 22:23:19] [65/188] SUCCESS: 565379001
[2026-02-07 22:23:21] [66/188] SUCCESS: 562245046
[2026-02-07 22:23:27] [67/188] SUCCESS: 561445005
[2026-02-07 22:23:28] [68/188] SUCCESS: 562245050
[2026-02-07 22:23:59] [69/188] SUCCESS: 562245062
[2026-02-07 22:24:06] [70/188] SUCCESS: 568601006
[2026-02-07 22:24:07] [71/188] SUCCESS: 568808001
[2026-02-07 22:24:17] [72/188] SUCCESS: 572797001
[2026-02-07 22:24:20] [73/188] SUCCESS: 573085004
[2026-02-07 22:24:21] [74/188] SUCCESS: 572797002
[2026-02-07 22:24:28] [75/188] SUCCESS: 568597006
[2026-02-07 22:24:45] [76/188] SUCCESS: 570003002
[2026-02-07 22:25:13] [77/188] SUCCESS: 573716012
[2026-02-07 22:25:27] [78/188] SUCCESS: 573085028
[2026-02-07 22:27:10] [79/188] SUCCESS: 574109012
[2026-02-07 22:27:16] [80/188] SUCCESS: 573937001
[2026-02-07 22:29:16] [81/188] SUCCESS: 575347003
[2026-02-07 22:29:16] [82/188] SUCCESS: 579541001
[2026-02-07 22:29:27] [83/188] SUCCESS: 579302001
[2026-02-07 22:29:38] [84/188] SUCCESS: 578476001
[2026-02-07 22:29:40] [85/188] SUCCESS: 580770001
[2026-02-07 22:30:28] [86/188] SUCCESS: 589748001
[2026-02-07 22:30:31] [87/188] SUCCESS: 599580017
[2026-02-07 22:30:33] [88/188] SUCCESS: 591334019
[2026-02-07 22:30:48] [89/188] SUCCESS: 608458001
[2026-02-07 22:30:55] [90/188] SUCCESS: 583534002
[2026-02-07 22:30:59] [91/188] SUCCESS: 610776001
[2026-02-07 22:31:06] [92/188] SUCCESS: 610776022
[2026-02-07 22:31:10] [93/188] SUCCESS: 603145001
[2026-02-07 22:31:24] [94/188] SUCCESS: 610776002
[2026-02-07 22:31:34] [95/188] SUCCESS: 608776002
[2026-02-07 22:31:43] [96/188] SUCCESS: 610776028
[2026-02-07 22:31:48] [97/188] SUCCESS: 605094001
[2026-02-07 22:32:23] [98/188] SUCCESS: 610776033
[2026-02-07 22:33:45] [99/188] SUCCESS: 611415001
[2026-02-07 22:34:34] [100/188] SUCCESS: 615141002
[2026-02-07 22:35:29] [101/188] SUCCESS: 618800001
[2026-02-07 22:35:48] [102/188] SUCCESS: 618800007
[2026-02-07 22:36:04] [103/188] SUCCESS: 624486001
[2026-02-07 22:36:17] [104/188] SUCCESS: 621381012
[2026-02-07 22:36:24] [105/188] SUCCESS: 621381001
[2026-02-07 22:36:54] [106/188] SUCCESS: 636323001
[2026-02-07 22:36:58] [107/188] SUCCESS: 629420007
[2026-02-07 22:37:04] [108/188] SUCCESS: 624486002
[2026-02-07 22:37:13] [109/188] SUCCESS: 639448001
[2026-02-07 22:37:16] [110/188] SUCCESS: 640021005
[2026-02-07 22:37:24] [111/188] SUCCESS: 636323002
[2026-02-07 22:37:36] [112/188] SUCCESS: 636323003
[2026-02-07 22:37:43] [113/188] SUCCESS: 658030001
[2026-02-07 22:37:59] [114/188] SUCCESS: 658030020
[2026-02-07 22:38:18] [115/188] SUCCESS: 655784001
[2026-02-07 22:38:21] [116/188] SUCCESS: 658030006
[2026-02-07 22:38:33] [117/188] SUCCESS: 658030011
[2026-02-07 22:38:54] [118/188] SUCCESS: 660726001
[2026-02-07 22:41:13] [119/188] SUCCESS: 664074001
[2026-02-07 22:41:39] [120/188] SUCCESS: 664319001
[2026-02-07 22:42:53] [121/188] SUCCESS: 664405002
[2026-02-07 22:43:23] [122/188] SUCCESS: 678696001
[2026-02-07 22:43:24] [123/188] SUCCESS: 678342002
[2026-02-07 22:43:25] [124/188] SUCCESS: 675068002
[2026-02-07 22:43:25] [125/188] SUCCESS: 678687001
[2026-02-07 22:43:26] [126/188] SUCCESS: 673396002
[2026-02-07 22:43:28] [127/188] SUCCESS: 677930023
[2026-02-07 22:43:29] [128/188] SUCCESS: 671852003
[2026-02-07 22:43:42] [129/188] SUCCESS: 678942001
[2026-02-07 22:44:15] [130/188] SUCCESS: 679854001
[2026-02-07 22:44:19] [131/188] SUCCESS: 679853001
[2026-02-07 22:44:23] [132/188] SUCCESS: 678692001
[2026-02-07 22:44:24] [133/188] SUCCESS: 678691002
[2026-02-07 22:44:31] [134/188] SUCCESS: 680262006
[2026-02-07 22:44:42] [135/188] SUCCESS: 680262001
[2026-02-07 22:45:34] [136/188] SUCCESS: 685813001
[2026-02-07 22:45:55] [137/188] SUCCESS: 685813002
[2026-02-07 22:46:03] [138/188] SUCCESS: 682550001
