[2026-02-07 21:57:14] Starting parallel batch run
[2026-02-07 21:57:14] Instances to process: 189
[2026-02-07 21:57:14] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_stochastic/batch_log_20260207_215714.txt
[2026-02-07 21:57:14] 
Starting 189 instances with 20 parallel workers...
[2026-02-07 22:03:28] [1/189] SUCCESS: 224606019
[2026-02-07 22:03:55] [2/189] SUCCESS: 372860002
[2026-02-07 22:04:03] [3/189] SUCCESS: 372860024
[2026-02-07 22:04:05] [4/189] SUCCESS: 399087021
[2026-02-07 22:04:06] [5/189] SUCCESS: 399087030
[2026-02-07 22:04:07] [6/189] SUCCESS: 243937001
[2026-02-07 22:04:09] [7/189] SUCCESS: 305931001
[2026-02-07 22:04:14] [8/189] SUCCESS: 372860001
[2026-02-07 22:04:19] [9/189] SUCCESS: 189616008
[2026-02-07 22:04:21] [10/189] SUCCESS: 399061008
[2026-02-07 22:04:21] [11/189] SUCCESS: 396135007
[2026-02-07 22:04:32] [12/189] SUCCESS: 189634001
[2026-02-07 22:04:38] [13/189] SUCCESS: 399087014
[2026-02-07 22:04:39] [14/189] SUCCESS: 399223001
[2026-02-07 22:04:39] [15/189] SUCCESS: 294008002
[2026-02-07 22:04:48] [16/189] SUCCESS: 316441001
[2026-02-07 22:04:57] [17/189] SUCCESS: 253448001
[2026-02-07 22:04:59] [18/189] SUCCESS: 399223033
[2026-02-07 22:05:02] [19/189] SUCCESS: 253448003
[2026-02-07 22:05:08] [20/189] SUCCESS: 399223034
[2026-02-07 22:10:33] [21/189] SUCCESS: 399223035
[2026-02-07 22:11:02] [22/189] SUCCESS: 448509014
[2026-02-07 22:11:10] [23/189] SUCCESS: 448509001
[2026-02-07 22:11:14] [24/189] SUCCESS: 399256018
[2026-02-07 22:11:27] [25/189] SUCCESS: 464297007
[2026-02-07 22:11:29] [26/189] SUCCESS: 399256032
[2026-02-07 22:11:35] [27/189] SUCCESS: 399256005
[2026-02-07 22:11:39] [28/189] SUCCESS: 458239001
[2026-02-07 22:11:40] [29/189] SUCCESS: 464908002
[2026-02-07 22:11:50] [30/189] SUCCESS: 473954008
[2026-02-07 22:11:50] [31/189] SUCCESS: 457892003
[2026-02-07 22:11:53] [32/189] SUCCESS: 465655019
[2026-02-07 22:11:55] [33/189] SUCCESS: 507883014
[2026-02-07 22:11:58] [34/189] SUCCESS: 470789001
[2026-02-07 22:11:59] [35/189] SUCCESS: 465655010
[2026-02-07 22:12:01] [36/189] SUCCESS: 399256001
[2026-02-07 22:12:05] [37/189] SUCCESS: 507883009
[2026-02-07 22:12:11] [38/189] SUCCESS: 487722001
[2026-02-07 22:12:24] [39/189] SUCCESS: 506098007
[2026-02-07 22:12:32] [40/189] SUCCESS: 399256023
