[2026-02-07 01:01:21] Starting parallel batch run
[2026-02-07 01:01:21] Instances to process: 230
[2026-02-07 01:01:21] Master log: D:\TextArena\examples\benchmark\synthetic_trajectory\lead_time_0\batch_log_20260207_010121.txt
[2026-02-07 01:01:21] 
Starting 230 instances with 3 parallel workers...
[2026-02-07 01:19:35] [1/230] SUCCESS: r2_med
[2026-02-07 01:21:41] [2/230] SUCCESS: r2_high
[2026-02-07 01:22:21] [3/230] SUCCESS: r1_high
[2026-02-07 01:34:54] [4/230] SUCCESS: r1_low
[2026-02-07 01:40:26] [5/230] SUCCESS: r1_med
[2026-02-07 01:40:42] [6/230] SUCCESS: r2_high
[2026-02-07 01:52:34] [7/230] SUCCESS: r2_low
[2026-02-07 01:59:38] [8/230] SUCCESS: r2_med
[2026-02-07 02:00:37] [9/230] SUCCESS: r1_high
[2026-02-07 02:07:47] [10/230] SUCCESS: r1_low
[2026-02-07 02:17:08] [11/230] SUCCESS: r1_med
[2026-02-07 02:20:37] [12/230] SUCCESS: r2_high
[2026-02-07 02:24:19] [13/230] SUCCESS: r2_low
[2026-02-07 02:34:51] [14/230] SUCCESS: r2_med
[2026-02-07 02:37:09] [15/230] SUCCESS: r1_high
[2026-02-07 02:38:05] [16/230] SUCCESS: r1_low
[2026-02-07 02:51:50] [17/230] SUCCESS: r1_med
[2026-02-07 02:53:26] [18/230] SUCCESS: r2_high
[2026-02-07 02:53:27] [19/230] SUCCESS: r2_low
[2026-02-07 03:08:32] [20/230] SUCCESS: r2_med
[2026-02-07 03:08:35] [21/230] SUCCESS: r1_low
[2026-02-07 03:10:35] [22/230] SUCCESS: r1_high
[2026-02-07 03:23:04] [23/230] SUCCESS: r1_med
[2026-02-07 03:24:23] [24/230] SUCCESS: r2_low
[2026-02-07 03:24:27] [25/230] SUCCESS: r2_high
[2026-02-07 03:38:15] [26/230] SUCCESS: r1_low
[2026-02-07 03:38:55] [27/230] SUCCESS: r2_med
[2026-02-07 03:42:19] [28/230] SUCCESS: r1_high
[2026-02-07 03:53:28] [29/230] SUCCESS: r1_med
[2026-02-07 03:54:39] [30/230] SUCCESS: r2_high
[2026-02-07 03:57:10] [31/230] SUCCESS: r2_low
[2026-02-07 04:10:22] [32/230] SUCCESS: r2_med
[2026-02-07 04:10:30] [33/230] SUCCESS: r1_high
[2026-02-07 04:11:10] [34/230] SUCCESS: r1_low
[2026-02-07 04:25:00] [35/230] SUCCESS: r2_low
[2026-02-07 04:27:08] [36/230] SUCCESS: r1_med
[2026-02-07 04:27:24] [37/230] SUCCESS: r2_high
[2026-02-07 04:43:09] [38/230] SUCCESS: r1_low
[2026-02-07 04:43:39] [39/230] SUCCESS: r2_med
[2026-02-07 04:45:44] [40/230] SUCCESS: r1_high
[2026-02-07 04:58:40] [41/230] SUCCESS: r1_med
[2026-02-07 04:59:48] [42/230] SUCCESS: r2_low
[2026-02-07 05:00:59] [43/230] SUCCESS: r2_high
[2026-02-07 05:13:49] [44/230] SUCCESS: r2_med
[2026-02-07 05:14:14] [45/230] SUCCESS: r1_low
[2026-02-07 05:16:27] [46/230] SUCCESS: r1_high
[2026-02-07 05:29:36] [47/230] SUCCESS: r2_high
[2026-02-07 05:30:26] [48/230] SUCCESS: r2_low
[2026-02-07 05:31:58] [49/230] SUCCESS: r1_med
[2026-02-07 05:45:16] [50/230] SUCCESS: r1_low
[2026-02-07 05:46:25] [51/230] SUCCESS: r2_med
[2026-02-07 05:47:03] [52/230] SUCCESS: r1_high
[2026-02-07 06:00:12] [53/230] SUCCESS: r1_med
[2026-02-07 06:00:29] [54/230] SUCCESS: r2_low
[2026-02-07 06:02:12] [55/230] SUCCESS: r2_high
[2026-02-07 06:15:09] [56/230] SUCCESS: r2_med
[2026-02-07 06:15:53] [57/230] SUCCESS: r1_low
[2026-02-07 06:16:15] [58/230] SUCCESS: r1_high
[2026-02-07 06:31:40] [59/230] SUCCESS: r2_low
[2026-02-07 06:32:18] [60/230] SUCCESS: r1_med
[2026-02-07 06:33:17] [61/230] SUCCESS: r2_high
[2026-02-07 06:46:32] [62/230] SUCCESS: r1_high
[2026-02-07 06:46:45] [63/230] SUCCESS: r2_med
[2026-02-07 06:46:46] [64/230] SUCCESS: r1_low
[2026-02-07 06:59:42] [65/230] SUCCESS: r2_high
[2026-02-07 07:00:00] [66/230] SUCCESS: r2_low
[2026-02-07 07:00:44] [67/230] SUCCESS: r1_med
[2026-02-07 07:14:29] [68/230] SUCCESS: r1_high
[2026-02-07 07:16:53] [69/230] SUCCESS: r1_low
[2026-02-07 07:17:46] [70/230] SUCCESS: r2_med
[2026-02-07 07:29:56] [71/230] SUCCESS: r1_med
[2026-02-07 07:31:11] [72/230] SUCCESS: r2_low
[2026-02-07 07:32:23] [73/230] SUCCESS: r2_high
[2026-02-07 07:44:09] [74/230] SUCCESS: r2_med
[2026-02-07 07:49:02] [75/230] SUCCESS: r1_high
[2026-02-07 07:50:33] [76/230] SUCCESS: r1_low
[2026-02-07 08:01:42] [77/230] SUCCESS: r1_med
[2026-02-07 08:02:25] [78/230] SUCCESS: r2_high
[2026-02-07 08:04:19] [79/230] SUCCESS: r2_low
[2026-02-07 08:16:07] [80/230] SUCCESS: r2_med
[2026-02-07 08:16:58] [81/230] SUCCESS: r1_low
[2026-02-07 08:17:05] [82/230] SUCCESS: r1_high
[2026-02-07 08:29:21] [83/230] SUCCESS: r2_low
[2026-02-07 08:29:40] [84/230] SUCCESS: r1_med
[2026-02-07 08:30:01] [85/230] SUCCESS: r2_high
[2026-02-07 08:44:03] [86/230] SUCCESS: r1_low
[2026-02-07 08:44:19] [87/230] SUCCESS: r2_med
[2026-02-07 08:45:46] [88/230] SUCCESS: r1_high
[2026-02-07 08:58:32] [89/230] SUCCESS: r1_med
[2026-02-07 08:58:35] [90/230] SUCCESS: r2_high
[2026-02-07 08:59:02] [91/230] SUCCESS: r2_low
[2026-02-07 09:13:42] [92/230] SUCCESS: r1_low
[2026-02-07 09:15:10] [93/230] SUCCESS: r1_high
[2026-02-07 09:16:13] [94/230] SUCCESS: r2_med
[2026-02-07 09:28:32] [95/230] SUCCESS: r1_med
[2026-02-07 09:31:02] [96/230] SUCCESS: r2_high
[2026-02-07 09:36:47] [97/230] SUCCESS: r2_low
[2026-02-07 09:42:38] [98/230] SUCCESS: r2_med
[2026-02-07 09:45:52] [99/230] SUCCESS: r1_high
[2026-02-07 09:50:14] [100/230] SUCCESS: r1_low
[2026-02-07 09:56:44] [101/230] SUCCESS: r1_med
