[2026-02-07 01:11:47] Starting parallel batch run
[2026-02-07 01:11:47] Instances to process: 197
[2026-02-07 01:11:47] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_0/batch_log_20260207_011147.txt
[2026-02-07 01:11:47] 
Starting 197 instances with 3 parallel workers...
[2026-02-07 01:24:08] [1/197] SUCCESS: 148033001
[2026-02-07 01:27:10] [2/197] SUCCESS: 160442007
[2026-02-07 01:27:44] [3/197] SUCCESS: 156231001
[2026-02-07 01:41:23] [4/197] SUCCESS: 160442010
[2026-02-07 01:42:39] [5/197] SUCCESS: 160442043
[2026-02-07 01:42:47] [6/197] SUCCESS: 179123001
[2026-02-07 01:57:53] [7/197] SUCCESS: 189616008
[2026-02-07 01:57:59] [8/197] SUCCESS: 179950001
[2026-02-07 02:01:18] [9/197] SUCCESS: 189616006
[2026-02-07 02:12:18] [10/197] SUCCESS: 189634001
[2026-02-07 02:13:26] [11/197] SUCCESS: 224606019
[2026-02-07 02:15:24] [12/197] SUCCESS: 243937001
[2026-02-07 02:28:57] [13/197] SUCCESS: 253448001
[2026-02-07 02:31:27] [14/197] SUCCESS: 253448003
[2026-02-07 02:31:45] [15/197] SUCCESS: 294008002
[2026-02-07 02:44:17] [16/197] SUCCESS: 305931001
[2026-02-07 02:45:16] [17/197] SUCCESS: 316441001
[2026-02-07 02:46:01] [18/197] SUCCESS: 372860001
[2026-02-07 02:58:57] [19/197] SUCCESS: 372860002
[2026-02-07 02:59:48] [20/197] SUCCESS: 396135007
[2026-02-07 03:00:32] [21/197] SUCCESS: 372860024
[2026-02-07 03:14:16] [22/197] SUCCESS: 399061008
[2026-02-07 03:14:23] [23/197] SUCCESS: 399087021
[2026-02-07 03:16:16] [24/197] SUCCESS: 399087014
[2026-02-07 03:29:00] [25/197] SUCCESS: 399087030
[2026-02-07 03:29:42] [26/197] SUCCESS: 399223001
[2026-02-07 03:31:02] [27/197] SUCCESS: 399223033
[2026-02-07 03:43:31] [28/197] SUCCESS: 399223034
[2026-02-07 03:45:38] [29/197] SUCCESS: 399256001
[2026-02-07 03:46:30] [30/197] SUCCESS: 399223035
[2026-02-07 04:00:19] [31/197] SUCCESS: 399256005
[2026-02-07 04:03:27] [32/197] SUCCESS: 399256018
[2026-02-07 04:03:33] [33/197] SUCCESS: 399256023
[2026-02-07 04:15:51] [34/197] SUCCESS: 399256032
[2026-02-07 04:18:51] [35/197] SUCCESS: 448509001
[2026-02-07 04:20:09] [36/197] SUCCESS: 448509014
[2026-02-07 04:28:22] [37/197] SUCCESS: 457892003
[2026-02-07 04:34:08] [38/197] SUCCESS: 458239001
