[2026-02-07 01:11:50] Starting parallel batch run
[2026-02-07 01:11:50] Instances to process: 200
[2026-02-07 01:11:50] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_stochastic/batch_log_20260207_011150.txt
[2026-02-07 01:11:50] 
Starting 200 instances with 3 parallel workers...
[2026-02-07 01:39:14] [1/200] SUCCESS: 108775044
[2026-02-07 01:44:34] [2/200] SUCCESS: 111586001
[2026-02-07 01:55:33] [3/200] SUCCESS: 120129001
[2026-02-07 02:17:05] [4/200] SUCCESS: 148033001
[2026-02-07 02:19:26] [5/200] SUCCESS: 156231001
[2026-02-07 02:30:03] [6/200] SUCCESS: 160442007
[2026-02-07 02:54:59] [7/200] SUCCESS: 160442010
[2026-02-07 02:55:58] [8/200] SUCCESS: 160442043
[2026-02-07 03:07:24] [9/200] SUCCESS: 179123001
[2026-02-07 03:32:31] [10/200] SUCCESS: 189616006
[2026-02-07 03:37:12] [11/200] SUCCESS: 179950001
[2026-02-07 03:46:04] [12/200] SUCCESS: 189616008
[2026-02-07 04:12:36] [13/200] SUCCESS: 189634001
[2026-02-07 04:14:06] [14/200] SUCCESS: 243937001
[2026-02-07 04:23:05] [15/200] SUCCESS: 224606019
[2026-02-07 04:50:38] [16/200] SUCCESS: 253448001
[2026-02-07 04:55:13] [17/200] SUCCESS: 294008002
[2026-02-07 04:55:19] [18/200] SUCCESS: 253448003
[2026-02-07 05:20:18] [19/200] SUCCESS: 305931001
[2026-02-07 05:26:08] [20/200] SUCCESS: 316441001
[2026-02-07 05:40:31] [21/200] SUCCESS: 372860001
[2026-02-07 05:56:05] [22/200] SUCCESS: 372860002
[2026-02-07 06:08:24] [23/200] SUCCESS: 372860024
[2026-02-07 06:13:31] [24/200] SUCCESS: 396135007
[2026-02-07 06:25:18] [25/200] SUCCESS: 399061008
[2026-02-07 06:40:54] [26/200] SUCCESS: 399087021
[2026-02-07 06:46:12] [27/200] SUCCESS: 399087014
[2026-02-07 07:01:13] [28/200] SUCCESS: 399087030
[2026-02-07 07:21:55] [29/200] SUCCESS: 399223033
[2026-02-07 07:23:57] [30/200] SUCCESS: 399223001
[2026-02-07 07:28:54] [31/200] SUCCESS: 399223034
[2026-02-07 08:05:32] [32/200] SUCCESS: 399223035
[2026-02-07 08:07:03] [33/200] SUCCESS: 399256005
[2026-02-07 08:09:22] [34/200] SUCCESS: 399256001
[2026-02-07 08:43:57] [35/200] SUCCESS: 399256023
[2026-02-07 08:45:03] [36/200] SUCCESS: 399256018
[2026-02-07 08:49:51] [37/200] SUCCESS: 399256032
[2026-02-07 09:22:52] [38/200] SUCCESS: 448509001
[2026-02-07 09:25:40] [39/200] SUCCESS: 448509014
[2026-02-07 09:26:30] [40/200] SUCCESS: 457892003
[2026-02-07 10:01:22] [41/200] SUCCESS: 464908002
[2026-02-07 10:01:35] [42/200] SUCCESS: 458239001
[2026-02-07 10:12:40] [43/200] SUCCESS: 464297007
[2026-02-07 10:33:46] [44/200] SUCCESS: 465655019
[2026-02-07 10:34:48] [45/200] SUCCESS: 465655010
[2026-02-07 10:49:39] [46/200] SUCCESS: 470789001
[2026-02-07 11:17:13] [47/200] SUCCESS: 487722001
[2026-02-07 11:18:46] [48/200] SUCCESS: 473954008
[2026-02-07 11:28:25] [49/200] SUCCESS: 506098007
[2026-02-07 11:54:40] [50/200] SUCCESS: 507883014
[2026-02-07 11:58:44] [51/200] SUCCESS: 507883009
[2026-02-07 12:05:42] [52/200] SUCCESS: 507909001
[2026-02-07 12:33:27] [53/200] SUCCESS: 507909003
[2026-02-07 12:40:33] [54/200] SUCCESS: 516859008
[2026-02-07 12:46:44] [55/200] SUCCESS: 516903005
[2026-02-07 13:07:17] [56/200] SUCCESS: 536139006
[2026-02-07 13:15:03] [57/200] SUCCESS: 538699001
[2026-02-07 13:28:55] [58/200] SUCCESS: 536139010
[2026-02-07 13:50:07] [59/200] SUCCESS: 547780001
[2026-02-07 13:51:56] [60/200] SUCCESS: 538699007
[2026-02-07 14:09:19] [61/200] SUCCESS: 554450001
[2026-02-07 14:32:06] [62/200] SUCCESS: 554450004
[2026-02-07 14:40:42] [63/200] SUCCESS: 554450019
[2026-02-07 14:55:51] [64/200] SUCCESS: 554450027
[2026-02-07 15:12:13] [65/200] SUCCESS: 554450036
[2026-02-07 15:12:24] [66/200] SUCCESS: 554477005
[2026-02-07 15:26:34] [67/200] SUCCESS: 554479001
[2026-02-07 15:46:26] [68/200] SUCCESS: 554598038
[2026-02-07 15:48:37] [69/200] SUCCESS: 554598001
[2026-02-07 16:01:45] [70/200] SUCCESS: 554598047
[2026-02-07 16:18:10] [71/200] SUCCESS: 554598057
[2026-02-07 16:20:51] [72/200] SUCCESS: 554772002
[2026-02-07 16:34:20] [73/200] SUCCESS: 554772003
[2026-02-07 16:54:45] [74/200] SUCCESS: 561445005
[2026-02-07 16:55:18] [75/200] SUCCESS: 554792001
[2026-02-07 17:04:46] [76/200] SUCCESS: 561445006
[2026-02-07 17:29:47] [77/200] SUCCESS: 562245046
[2026-02-07 17:32:13] [78/200] SUCCESS: 562245018
[2026-02-07 17:38:05] [79/200] SUCCESS: 562245050
[2026-02-07 18:06:35] [80/200] SUCCESS: 562245062
[2026-02-07 18:08:31] [81/200] SUCCESS: 565379001
[2026-02-07 18:20:06] [82/200] SUCCESS: 568597006
[2026-02-07 18:43:07] [83/200] SUCCESS: 568601006
[2026-02-07 18:44:43] [84/200] SUCCESS: 568808001
[2026-02-07 18:56:49] [85/200] SUCCESS: 570003002
[2026-02-07 19:16:53] [86/200] SUCCESS: 572797002
[2026-02-07 19:20:00] [87/200] SUCCESS: 572797001
[2026-02-07 19:26:49] [88/200] SUCCESS: 573085004
[2026-02-07 19:52:54] [89/200] SUCCESS: 573085028
[2026-02-07 19:54:54] [90/200] SUCCESS: 573716012
[2026-02-07 19:57:28] [91/200] SUCCESS: 573937001
[2026-02-07 20:18:07] [92/200] SUCCESS: 574109012
[2026-02-07 20:25:04] [93/200] SUCCESS: 578476001
[2026-02-07 20:27:27] [94/200] SUCCESS: 575347003
[2026-02-07 20:54:38] [95/200] SUCCESS: 579302001
[2026-02-07 21:02:32] [96/200] SUCCESS: 579541001
[2026-02-07 21:05:08] [97/200] SUCCESS: 580770001
[2026-02-07 21:18:41] [98/200] SUCCESS: 583534002
[2026-02-07 21:36:09] [99/200] SUCCESS: 589748001
[2026-02-07 21:38:00] [100/200] SUCCESS: 591334019
[2026-02-07 21:51:57] [101/200] SUCCESS: 599580017
[2026-02-07 22:06:49] [102/200] SUCCESS: 605094001
[2026-02-07 22:07:20] [103/200] SUCCESS: 603145001
