[2026-02-07 01:11:46] Starting parallel batch run
[2026-02-07 01:11:46] Instances to process: 237
[2026-02-07 01:11:46] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_4/batch_log_20260207_011146.txt
[2026-02-07 01:11:46] 
Starting 237 instances with 3 parallel workers...
[2026-02-07 01:26:46] [1/237] SUCCESS: r2_high
[2026-02-07 01:27:25] [2/237] SUCCESS: r2_med
[2026-02-07 01:27:30] [3/237] SUCCESS: r2_low
[2026-02-07 01:43:10] [4/237] SUCCESS: r1_high
[2026-02-07 01:44:01] [5/237] SUCCESS: r1_low
[2026-02-07 01:44:03] [6/237] SUCCESS: r1_med
[2026-02-07 01:57:24] [7/237] SUCCESS: r2_high
[2026-02-07 02:00:05] [8/237] SUCCESS: r2_med
[2026-02-07 02:01:02] [9/237] SUCCESS: r2_low
[2026-02-07 02:10:30] [10/237] SUCCESS: r1_high
[2026-02-07 02:13:31] [11/237] SUCCESS: r1_low
[2026-02-07 02:16:39] [12/237] SUCCESS: r1_med
[2026-02-07 02:27:47] [13/237] SUCCESS: r2_high
[2026-02-07 02:31:25] [14/237] SUCCESS: r2_low
[2026-02-07 02:31:37] [15/237] SUCCESS: r2_med
[2026-02-07 02:42:00] [16/237] SUCCESS: r1_high
[2026-02-07 02:48:36] [17/237] SUCCESS: r1_low
[2026-02-07 02:50:32] [18/237] SUCCESS: r1_med
[2026-02-07 02:57:14] [19/237] SUCCESS: r2_high
[2026-02-07 03:05:07] [20/237] SUCCESS: r2_med
[2026-02-07 03:06:29] [21/237] SUCCESS: r2_low
[2026-02-07 03:12:41] [22/237] SUCCESS: r1_high
[2026-02-07 03:20:48] [23/237] SUCCESS: r1_med
[2026-02-07 03:21:11] [24/237] SUCCESS: r1_low
[2026-02-07 03:29:00] [25/237] SUCCESS: r2_high
[2026-02-07 03:37:07] [26/237] SUCCESS: r2_med
[2026-02-07 03:37:44] [27/237] SUCCESS: r2_low
[2026-02-07 03:46:10] [28/237] SUCCESS: r1_high
[2026-02-07 03:56:00] [29/237] SUCCESS: r1_med
[2026-02-07 03:57:17] [30/237] SUCCESS: r1_low
[2026-02-07 04:05:03] [31/237] SUCCESS: r2_high
[2026-02-07 04:12:56] [32/237] SUCCESS: r2_med
[2026-02-07 04:13:00] [33/237] SUCCESS: r2_low
[2026-02-07 04:18:41] [34/237] SUCCESS: r1_high
[2026-02-07 04:28:36] [35/237] SUCCESS: r1_med
[2026-02-07 04:31:37] [36/237] SUCCESS: r1_low
[2026-02-07 04:34:37] [37/237] SUCCESS: r2_high
[2026-02-07 04:46:46] [38/237] SUCCESS: r2_low
[2026-02-07 04:47:39] [39/237] SUCCESS: r2_med
[2026-02-07 04:49:50] [40/237] SUCCESS: r1_high
[2026-02-07 05:01:37] [41/237] SUCCESS: r1_med
[2026-02-07 05:01:58] [42/237] SUCCESS: r1_low
[2026-02-07 05:05:17] [43/237] SUCCESS: r2_high
[2026-02-07 05:18:06] [44/237] SUCCESS: r2_low
[2026-02-07 05:18:09] [45/237] SUCCESS: r2_med
[2026-02-07 05:19:05] [46/237] SUCCESS: r1_high
[2026-02-07 05:32:20] [47/237] SUCCESS: r2_high
[2026-02-07 05:33:57] [48/237] SUCCESS: r1_med
[2026-02-07 05:36:23] [49/237] SUCCESS: r1_low
[2026-02-07 05:49:12] [50/237] SUCCESS: r2_med
[2026-02-07 05:49:29] [51/237] SUCCESS: r2_low
[2026-02-07 05:53:12] [52/237] SUCCESS: r1_high
[2026-02-07 06:06:07] [53/237] SUCCESS: r1_med
[2026-02-07 06:09:11] [54/237] SUCCESS: r2_high
[2026-02-07 06:09:27] [55/237] SUCCESS: r1_low
[2026-02-07 06:23:11] [56/237] SUCCESS: r2_low
[2026-02-07 06:23:11] [57/237] SUCCESS: r1_high
[2026-02-07 06:24:55] [58/237] SUCCESS: r2_med
[2026-02-07 06:39:56] [59/237] SUCCESS: r1_med
[2026-02-07 06:40:06] [60/237] SUCCESS: r2_high
[2026-02-07 06:40:48] [61/237] SUCCESS: r1_low
[2026-02-07 06:56:18] [62/237] SUCCESS: r1_high
[2026-02-07 06:56:24] [63/237] SUCCESS: r2_low
[2026-02-07 06:57:07] [64/237] SUCCESS: r2_med
[2026-02-07 07:11:48] [65/237] SUCCESS: r1_med
[2026-02-07 07:12:26] [66/237] SUCCESS: r2_high
[2026-02-07 07:14:36] [67/237] SUCCESS: r1_low
[2026-02-07 07:31:15] [68/237] SUCCESS: r2_med
[2026-02-07 07:31:27] [69/237] SUCCESS: r2_low
[2026-02-07 07:34:41] [70/237] SUCCESS: r1_high
[2026-02-07 07:52:37] [71/237] SUCCESS: r1_med
[2026-02-07 07:53:48] [72/237] SUCCESS: r1_low
[2026-02-07 07:56:15] [73/237] SUCCESS: r2_high
[2026-02-07 08:15:24] [74/237] SUCCESS: r2_med
[2026-02-07 08:15:28] [75/237] SUCCESS: r1_high
[2026-02-07 08:16:21] [76/237] SUCCESS: r2_low
[2026-02-07 08:33:50] [77/237] SUCCESS: r1_med
[2026-02-07 08:34:52] [78/237] SUCCESS: r1_low
[2026-02-07 08:37:41] [79/237] SUCCESS: r2_high
[2026-02-07 08:53:15] [80/237] SUCCESS: r2_med
[2026-02-07 08:54:25] [81/237] SUCCESS: r2_low
[2026-02-07 08:57:41] [82/237] SUCCESS: r1_high
[2026-02-07 09:14:22] [83/237] SUCCESS: r1_med
[2026-02-07 09:14:25] [84/237] SUCCESS: r1_low
[2026-02-07 09:20:43] [85/237] SUCCESS: r2_high
[2026-02-07 09:34:55] [86/237] SUCCESS: r2_low
[2026-02-07 09:35:43] [87/237] SUCCESS: r2_med
[2026-02-07 09:39:23] [88/237] SUCCESS: r1_high
[2026-02-07 09:52:18] [89/237] SUCCESS: r1_med
[2026-02-07 09:55:44] [90/237] SUCCESS: r1_low
[2026-02-07 09:57:28] [91/237] SUCCESS: r2_high
[2026-02-07 10:12:53] [92/237] SUCCESS: r2_low
[2026-02-07 10:14:41] [93/237] SUCCESS: r2_med
[2026-02-07 10:15:08] [94/237] SUCCESS: r1_high
[2026-02-07 10:31:22] [95/237] SUCCESS: r1_med
[2026-02-07 10:33:07] [96/237] SUCCESS: r1_low
[2026-02-07 10:33:12] [97/237] SUCCESS: r2_high
[2026-02-07 10:49:09] [98/237] SUCCESS: r2_med
[2026-02-07 10:49:56] [99/237] SUCCESS: r2_low
[2026-02-07 10:51:40] [100/237] SUCCESS: r1_high
[2026-02-07 11:09:14] [101/237] SUCCESS: r1_med
[2026-02-07 11:11:09] [102/237] SUCCESS: r1_low
[2026-02-07 11:12:51] [103/237] SUCCESS: r2_high
[2026-02-07 11:28:36] [104/237] SUCCESS: r1_high
[2026-02-07 11:29:35] [105/237] SUCCESS: r2_low
[2026-02-07 11:31:21] [106/237] SUCCESS: r2_med
[2026-02-07 11:44:39] [107/237] SUCCESS: r1_low
[2026-02-07 11:45:46] [108/237] SUCCESS: r1_med
[2026-02-07 11:48:44] [109/237] SUCCESS: r2_high
[2026-02-07 12:05:03] [110/237] SUCCESS: r2_med
[2026-02-07 12:07:01] [111/237] SUCCESS: r2_low
[2026-02-07 12:07:38] [112/237] SUCCESS: r1_high
[2026-02-07 12:23:39] [113/237] SUCCESS: r1_low
[2026-02-07 12:23:57] [114/237] SUCCESS: r2_high
[2026-02-07 12:25:33] [115/237] SUCCESS: r1_med
[2026-02-07 12:41:23] [116/237] SUCCESS: r2_low
[2026-02-07 12:43:10] [117/237] SUCCESS: r2_med
[2026-02-07 12:43:44] [118/237] SUCCESS: r1_high
[2026-02-07 13:00:06] [119/237] SUCCESS: r2_high
[2026-02-07 13:01:23] [120/237] SUCCESS: r1_med
[2026-02-07 13:02:52] [121/237] SUCCESS: r1_low
[2026-02-07 13:20:02] [122/237] SUCCESS: r2_med
[2026-02-07 13:20:16] [123/237] SUCCESS: r1_high
[2026-02-07 13:20:44] [124/237] SUCCESS: r2_low
[2026-02-07 13:37:11] [125/237] SUCCESS: r2_high
[2026-02-07 13:38:59] [126/237] SUCCESS: r1_med
[2026-02-07 13:42:52] [127/237] SUCCESS: r1_low
[2026-02-07 13:57:53] [128/237] SUCCESS: r2_low
[2026-02-07 13:58:13] [129/237] SUCCESS: r2_med
[2026-02-07 14:01:31] [130/237] SUCCESS: r1_high
[2026-02-07 14:18:10] [131/237] SUCCESS: r1_low
[2026-02-07 14:18:37] [132/237] SUCCESS: r2_high
[2026-02-07 14:19:01] [133/237] SUCCESS: r1_med
[2026-02-07 14:34:54] [134/237] SUCCESS: r1_high
[2026-02-07 14:35:48] [135/237] SUCCESS: r2_med
[2026-02-07 14:37:25] [136/237] SUCCESS: r2_low
[2026-02-07 14:52:34] [137/237] SUCCESS: r1_med
[2026-02-07 14:54:15] [138/237] SUCCESS: r2_high
[2026-02-07 14:55:51] [139/237] SUCCESS: r1_low
[2026-02-07 15:09:55] [140/237] SUCCESS: r2_low
[2026-02-07 15:10:46] [141/237] SUCCESS: r2_med
