[2026-02-01 17:56:16] Starting parallel batch run
[2026-02-01 17:56:16] Instances to process: 200
[2026-02-01 17:56:16] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_0\batch_log_20260201_175616.txt
[2026-02-01 17:56:16] 
Starting 200 instances with 3 parallel workers...
[2026-02-01 17:59:15] [1/200] SUCCESS: 111586001
[2026-02-01 17:59:15] [2/200] SUCCESS: 108775044
[2026-02-01 17:59:16] [3/200] SUCCESS: 120129001
[2026-02-01 18:02:14] [4/200] SUCCESS: 148033001
[2026-02-01 18:02:22] [5/200] SUCCESS: 156231001
[2026-02-01 18:02:25] [6/200] SUCCESS: 160442007
[2026-02-01 18:05:25] [7/200] SUCCESS: 160442010
[2026-02-01 18:05:31] [8/200] SUCCESS: 179123001
[2026-02-01 18:08:26] [9/200] SUCCESS: 189616006
[2026-02-01 18:08:43] [10/200] SUCCESS: 179950001
[2026-02-01 18:11:19] [11/200] SUCCESS: 189616008
[2026-02-01 18:11:50] [12/200] SUCCESS: 189634001
[2026-02-01 18:14:10] [13/200] SUCCESS: 224606019
[2026-02-01 18:14:38] [14/200] SUCCESS: 243937001
[2026-02-01 18:15:28] [15/200] SUCCESS: 160442043
[2026-02-01 18:17:18] [16/200] SUCCESS: 253448001
[2026-02-01 18:17:36] [17/200] SUCCESS: 253448003
[2026-02-01 18:18:38] [18/200] SUCCESS: 294008002
[2026-02-01 18:20:25] [19/200] SUCCESS: 305931001
[2026-02-01 18:20:38] [20/200] SUCCESS: 316441001
[2026-02-01 18:21:53] [21/200] SUCCESS: 372860001
[2026-02-01 18:25:24] [22/200] SUCCESS: 372860002
[2026-02-01 18:26:03] [23/200] SUCCESS: 372860024
[2026-02-01 18:27:36] [24/200] SUCCESS: 396135007
[2026-02-01 18:28:29] [25/200] SUCCESS: 399061008
[2026-02-01 18:29:16] [26/200] SUCCESS: 399087014
[2026-02-01 18:30:27] [27/200] SUCCESS: 399087021
[2026-02-01 18:31:22] [28/200] SUCCESS: 399087030
[2026-02-01 18:32:21] [29/200] SUCCESS: 399223001
[2026-02-01 18:33:34] [30/200] SUCCESS: 399223033
[2026-02-01 18:34:27] [31/200] SUCCESS: 399223034
[2026-02-01 18:35:27] [32/200] SUCCESS: 399223035
[2026-02-01 18:36:42] [33/200] SUCCESS: 399256001
[2026-02-01 18:37:35] [34/200] SUCCESS: 399256005
[2026-02-01 18:38:31] [35/200] SUCCESS: 399256018
[2026-02-01 18:39:51] [36/200] SUCCESS: 399256023
[2026-02-01 18:40:36] [37/200] SUCCESS: 399256032
[2026-02-01 18:41:41] [38/200] SUCCESS: 448509001
[2026-02-01 18:43:17] [39/200] SUCCESS: 448509014
[2026-02-01 18:43:41] [40/200] SUCCESS: 457892003
[2026-02-01 18:44:31] [41/200] SUCCESS: 458239001
[2026-02-01 18:46:32] [42/200] SUCCESS: 464297007
[2026-02-01 18:46:52] [43/200] SUCCESS: 464908002
[2026-02-01 18:47:29] [44/200] SUCCESS: 465655010
[2026-02-01 18:49:37] [45/200] SUCCESS: 465655019
[2026-02-01 18:50:05] [46/200] SUCCESS: 470789001
[2026-02-01 18:50:12] [47/200] SUCCESS: 473954008
[2026-02-01 18:52:59] [48/200] SUCCESS: 506098007
[2026-02-01 18:53:00] [49/200] SUCCESS: 487722001
[2026-02-01 18:53:21] [50/200] SUCCESS: 507883009
[2026-02-01 18:55:56] [51/200] SUCCESS: 507883014
[2026-02-01 18:56:16] [52/200] SUCCESS: 507909001
[2026-02-01 18:56:36] [53/200] SUCCESS: 507909003
[2026-02-01 18:58:52] [54/200] SUCCESS: 516859008
[2026-02-01 18:59:03] [55/200] SUCCESS: 516903005
[2026-02-01 18:59:28] [56/200] SUCCESS: 536139006
[2026-02-01 19:01:49] [57/200] SUCCESS: 536139010
[2026-02-01 19:02:01] [58/200] SUCCESS: 538699001
[2026-02-01 19:02:31] [59/200] SUCCESS: 538699007
[2026-02-01 19:04:41] [60/200] SUCCESS: 547780001
