[2026-02-02 08:39:00] Starting parallel batch run
[2026-02-02 08:39:00] Instances to process: 200
[2026-02-02 08:39:00] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_stochastic\batch_log_20260202_083900.txt
[2026-02-02 08:39:00] 
Starting 200 instances with 3 parallel workers...
[2026-02-02 08:42:17] [1/200] SUCCESS: 108775044
[2026-02-02 08:42:18] [2/200] SUCCESS: 111586001
[2026-02-02 08:42:23] [3/200] SUCCESS: 120129001
[2026-02-02 08:45:34] [4/200] SUCCESS: 160442007
[2026-02-02 08:45:39] [5/200] SUCCESS: 156231001
[2026-02-02 08:45:45] [6/200] SUCCESS: 148033001
[2026-02-02 08:48:34] [7/200] SUCCESS: 160442043
[2026-02-02 08:48:57] [8/200] SUCCESS: 160442010
[2026-02-02 08:49:27] [9/200] SUCCESS: 179123001
[2026-02-02 08:51:40] [10/200] SUCCESS: 179950001
[2026-02-02 08:52:22] [11/200] SUCCESS: 189616006
[2026-02-02 08:52:46] [12/200] SUCCESS: 189616008
[2026-02-02 08:55:27] [13/200] SUCCESS: 189634001
[2026-02-02 08:55:46] [14/200] SUCCESS: 224606019
[2026-02-02 08:55:50] [15/200] SUCCESS: 243937001
[2026-02-02 08:58:47] [16/200] SUCCESS: 253448001
[2026-02-02 08:59:13] [17/200] SUCCESS: 253448003
[2026-02-02 08:59:13] [18/200] SUCCESS: 294008002
[2026-02-02 09:02:25] [19/200] SUCCESS: 305931001
[2026-02-02 09:02:32] [20/200] SUCCESS: 316441001
[2026-02-02 09:02:55] [21/200] SUCCESS: 372860001
[2026-02-02 09:05:31] [22/200] SUCCESS: 372860024
[2026-02-02 09:06:08] [23/200] SUCCESS: 396135007
[2026-02-02 09:06:12] [24/200] SUCCESS: 372860002
[2026-02-02 09:08:33] [25/200] SUCCESS: 399061008
[2026-02-02 09:09:54] [26/200] SUCCESS: 399087014
[2026-02-02 09:09:56] [27/200] SUCCESS: 399087021
[2026-02-02 09:12:47] [28/200] SUCCESS: 399087030
[2026-02-02 09:13:41] [29/200] SUCCESS: 399223001
[2026-02-02 09:14:09] [30/200] SUCCESS: 399223033
[2026-02-02 09:16:16] [31/200] SUCCESS: 399223034
[2026-02-02 09:18:00] [32/200] SUCCESS: 399256001
[2026-02-02 09:18:08] [33/200] SUCCESS: 399223035
[2026-02-02 09:19:22] [34/200] SUCCESS: 399256005
[2026-02-02 09:21:03] [35/200] SUCCESS: 399256018
[2026-02-02 09:21:34] [36/200] SUCCESS: 399256023
[2026-02-02 09:22:49] [37/200] SUCCESS: 399256032
[2026-02-02 09:24:50] [38/200] SUCCESS: 448509001
[2026-02-02 09:25:01] [39/200] SUCCESS: 448509014
[2026-02-02 09:26:11] [40/200] SUCCESS: 457892003
[2026-02-02 09:28:15] [41/200] SUCCESS: 458239001
[2026-02-02 09:28:34] [42/200] SUCCESS: 464297007
[2026-02-02 09:29:48] [43/200] SUCCESS: 464908002
[2026-02-02 09:32:52] [44/200] SUCCESS: 465655010
[2026-02-02 09:32:59] [45/200] SUCCESS: 465655019
[2026-02-02 09:34:58] [46/200] SUCCESS: 470789001
[2026-02-02 09:36:36] [47/200] SUCCESS: 487722001
[2026-02-02 09:37:03] [48/200] SUCCESS: 473954008
[2026-02-02 09:38:42] [49/200] SUCCESS: 506098007
[2026-02-02 09:40:15] [50/200] SUCCESS: 507883014
[2026-02-02 09:41:10] [51/200] SUCCESS: 507883009
[2026-02-02 09:42:42] [52/200] SUCCESS: 507909001
[2026-02-02 09:43:59] [53/200] SUCCESS: 507909003
[2026-02-02 09:44:42] [54/200] SUCCESS: 516859008
[2026-02-02 09:46:45] [55/200] SUCCESS: 516903005
[2026-02-02 09:48:12] [56/200] SUCCESS: 536139006
[2026-02-02 09:48:39] [57/200] SUCCESS: 536139010
[2026-02-02 09:50:19] [58/200] SUCCESS: 538699001
[2026-02-02 09:51:38] [59/200] SUCCESS: 547780001
[2026-02-02 09:51:45] [60/200] SUCCESS: 538699007
[2026-02-02 09:53:46] [61/200] SUCCESS: 554450001
[2026-02-02 09:54:49] [62/200] SUCCESS: 554450019
[2026-02-02 09:55:03] [63/200] SUCCESS: 554450004
[2026-02-02 09:57:20] [64/200] SUCCESS: 554450027
[2026-02-02 09:58:09] [65/200] SUCCESS: 554477005
[2026-02-02 09:58:14] [66/200] SUCCESS: 554450036
[2026-02-02 10:00:17] [67/200] SUCCESS: 554479001
[2026-02-02 10:01:35] [68/200] SUCCESS: 554598038
[2026-02-02 10:01:55] [69/200] SUCCESS: 554598001
[2026-02-02 10:04:04] [70/200] SUCCESS: 554598047
[2026-02-02 10:04:43] [71/200] SUCCESS: 554598057
[2026-02-02 10:04:59] [72/200] SUCCESS: 554772002
[2026-02-02 10:08:30] [73/200] SUCCESS: 554772003
[2026-02-02 10:08:36] [74/200] SUCCESS: 554792001
[2026-02-02 10:10:43] [75/200] SUCCESS: 561445005
[2026-02-02 10:12:01] [76/200] SUCCESS: 561445006
[2026-02-02 10:12:29] [77/200] SUCCESS: 562245018
[2026-02-02 10:14:38] [78/200] SUCCESS: 562245046
[2026-02-02 10:15:18] [79/200] SUCCESS: 562245050
[2026-02-02 10:15:49] [80/200] SUCCESS: 562245062
[2026-02-02 10:17:58] [81/200] SUCCESS: 565379001
[2026-02-02 10:18:43] [82/200] SUCCESS: 568597006
[2026-02-02 10:19:10] [83/200] SUCCESS: 568601006
[2026-02-02 10:21:03] [84/200] SUCCESS: 568808001
[2026-02-02 10:21:34] [85/200] SUCCESS: 570003002
[2026-02-02 10:22:04] [86/200] SUCCESS: 572797001
[2026-02-02 10:24:16] [87/200] SUCCESS: 572797002
[2026-02-02 10:25:07] [88/200] SUCCESS: 573085004
[2026-02-02 10:25:30] [89/200] SUCCESS: 573085028
[2026-02-02 10:28:13] [90/200] SUCCESS: 573716012
[2026-02-02 10:28:31] [91/200] SUCCESS: 574109012
