[2026-01-30 19:23:28] Starting parallel batch run
[2026-01-30 19:23:28] Instances to process: 240
[2026-01-30 19:23:28] Master log: D:\TextArena\examples\benchmark\synthetic_trajectory\lead_time_0\batch_log_20260130_192328.txt
[2026-01-30 19:23:28] 
Starting 240 instances with 3 parallel workers...
[2026-01-30 19:26:14] [1/240] SUCCESS: r1_high
[2026-01-30 19:26:17] [2/240] SUCCESS: r1_med
[2026-01-30 19:26:18] [3/240] SUCCESS: r1_low
[2026-01-30 19:28:58] [4/240] SUCCESS: r2_med
[2026-01-30 19:29:02] [5/240] SUCCESS: r2_high
[2026-01-30 19:32:00] [6/240] SUCCESS: r1_low
[2026-01-30 19:32:07] [7/240] SUCCESS: r1_high
[2026-01-30 19:35:02] [8/240] SUCCESS: r1_med
[2026-01-30 19:35:16] [9/240] SUCCESS: r2_high
[2026-01-30 19:38:10] [10/240] SUCCESS: r2_low
[2026-01-30 19:38:57] [11/240] SUCCESS: r2_low
[2026-01-30 19:41:34] [12/240] SUCCESS: r1_low
[2026-01-30 19:45:49] [13/240] SUCCESS: r1_med
[2026-01-30 19:47:49] [14/240] SUCCESS: r2_med
[2026-01-30 19:48:35] [15/240] SUCCESS: r2_high
[2026-01-30 19:50:38] [16/240] SUCCESS: r1_high
[2026-01-30 19:51:18] [17/240] SUCCESS: r2_med
[2026-01-30 19:53:41] [18/240] SUCCESS: r1_high
[2026-01-30 19:54:16] [19/240] SUCCESS: r1_low
[2026-01-30 19:56:32] [20/240] INCOMPLETE: r1_med - Results incomplete after benchmark
[2026-01-30 19:57:11] [21/240] SUCCESS: r2_high
[2026-01-30 19:59:24] [22/240] INCOMPLETE: r2_low - Results incomplete after benchmark
[2026-01-30 20:00:05] [23/240] SUCCESS: r2_med
[2026-01-30 20:00:26] [24/240] SUCCESS: r2_low
[2026-01-30 20:02:25] [25/240] SUCCESS: r1_high
[2026-01-30 20:03:19] [26/240] SUCCESS: r1_low
[2026-01-30 20:03:35] [27/240] SUCCESS: r1_med
[2026-01-30 20:06:26] [28/240] SUCCESS: r2_low
[2026-01-30 20:06:57] [29/240] SUCCESS: r2_med
[2026-01-30 20:09:30] [30/240] SUCCESS: r1_high
[2026-01-30 20:10:03] [31/240] SUCCESS: r1_low
[2026-01-30 20:12:23] [32/240] SUCCESS: r1_med
[2026-01-30 20:12:56] [33/240] SUCCESS: r2_high
[2026-01-30 20:15:06] [34/240] SUCCESS: r2_high
[2026-01-30 20:15:23] [35/240] SUCCESS: r2_low
[2026-01-30 20:15:51] [36/240] SUCCESS: r2_med
[2026-01-30 20:18:18] [37/240] SUCCESS: r1_low
[2026-01-30 20:21:37] [38/240] SUCCESS: r2_high
[2026-01-30 20:24:36] [39/240] SUCCESS: r2_low
[2026-01-30 20:27:35] [40/240] SUCCESS: r1_high
[2026-01-30 20:27:39] [41/240] SUCCESS: r2_med
[2026-01-30 20:28:34] [42/240] SUCCESS: r1_med
[2026-01-30 20:30:41] [43/240] SUCCESS: r1_high
[2026-01-30 20:30:48] [44/240] SUCCESS: r1_low
[2026-01-30 20:33:51] [45/240] SUCCESS: r2_low
[2026-01-30 20:46:33] [46/240] SUCCESS: r2_med
[2026-01-30 20:49:31] [47/240] SUCCESS: r1_high
[2026-01-30 20:51:22] [48/240] SUCCESS: r1_med
[2026-01-30 20:53:25] [49/240] SUCCESS: r2_high
[2026-01-30 20:56:28] [50/240] SUCCESS: r2_high
[2026-01-30 20:59:31] [51/240] SUCCESS: r2_low
[2026-01-30 21:02:27] [52/240] SUCCESS: r1_low
[2026-01-30 21:02:30] [53/240] SUCCESS: r2_med
[2026-01-30 21:04:13] [54/240] SUCCESS: r1_med
[2026-01-30 21:05:20] [55/240] SUCCESS: r1_high
[2026-01-30 21:05:31] [56/240] SUCCESS: r1_low
[2026-01-30 21:07:09] [57/240] SUCCESS: r1_med
[2026-01-30 21:08:20] [58/240] SUCCESS: r2_high
[2026-01-30 21:10:11] [59/240] SUCCESS: r2_med
[2026-01-30 21:10:13] [60/240] SUCCESS: r2_low
[2026-01-30 21:11:27] [61/240] SUCCESS: r1_high
[2026-01-30 21:13:06] [62/240] SUCCESS: r1_med
[2026-01-30 21:13:08] [63/240] SUCCESS: r1_low
[2026-01-30 21:14:21] [64/240] SUCCESS: r2_high
[2026-01-30 21:16:10] [65/240] SUCCESS: r2_low
[2026-01-30 21:16:12] [66/240] SUCCESS: r2_med
[2026-01-30 21:17:14] [67/240] SUCCESS: r1_high
[2026-01-30 21:19:06] [68/240] SUCCESS: r1_med
[2026-01-30 21:19:14] [69/240] SUCCESS: r1_low
[2026-01-30 21:20:14] [70/240] SUCCESS: r2_high
[2026-01-30 21:22:09] [71/240] SUCCESS: r2_med
[2026-01-30 21:22:35] [72/240] SUCCESS: r2_low
[2026-01-30 21:23:17] [73/240] SUCCESS: r1_high
[2026-01-30 21:25:27] [74/240] SUCCESS: r1_low
[2026-01-30 21:25:38] [75/240] SUCCESS: r1_med
[2026-01-30 21:26:31] [76/240] SUCCESS: r2_high
[2026-01-30 21:28:36] [77/240] SUCCESS: r2_low
[2026-01-30 21:28:50] [78/240] SUCCESS: r2_med
[2026-01-30 21:29:32] [79/240] SUCCESS: r1_high
[2026-01-30 21:32:02] [80/240] SUCCESS: r1_med
[2026-01-30 21:35:10] [81/240] SUCCESS: r2_low
[2026-01-30 21:38:24] [82/240] SUCCESS: r2_med
[2026-01-30 21:41:27] [83/240] SUCCESS: r1_high
[2026-01-30 21:41:39] [84/240] SUCCESS: r1_low
