period,order_quantity
1,700.0
2,0.0
3,400.0
4,680.0
5,426.0
6,500.0
7,550.0
8,761.0
9,675.0
10,1031.0
11,1000.0
12,1329.0
13,1502.0
14,1125.0
15,1717.0
16,1386.0
17,1528.0
18,1536.0
19,2050.0
20,1800.0
21,2332.0
22,2300.0
23,2396.0
24,2100.0
25,2690.0
26,2579.0
27,2157.0
28,2708.0
29,3000.0
30,3059.0
31,3004.0
32,3300.0
33,3151.0
34,3500.0
35,3483.0
36,3800.0
37,3457.0
38,4000.0
39,4400.0
40,4093.0
41,3681.0
42,3997.0
43,4200.0
44,4750.0
45,4320.0
46,4800.0
47,4638.0
48,5300.0
49,4920.0
50,4000.0
