period,order_quantity
1,900.0
2,400.0
3,500.0
4,800.0
5,350.0
6,650.0
7,700.0
8,1200.0
9,1000.0
10,1800.0
11,1500.0
12,1800.0
13,1600.0
14,1500.0
15,1450.0
16,1600.0
17,1550.0
18,1550.0
19,1650.0
20,1800.0
21,1900.0
22,2000.0
23,2200.0
24,2600.0
25,2800.0
26,2800.0
27,2800.0
28,2800.0
29,3200.0
30,3500.0
31,3500.0
32,3800.0
33,2200.0
34,3500.0
35,3500.0
36,3500.0
37,3800.0
38,4000.0
39,4000.0
40,4000.0
41,4500.0
42,4500.0
43,4800.0
44,4700.0
45,4500.0
46,4000.0
47,4000.0
48,4500.0
49,4800.0
50,5000.0
