period,order_quantity
1,1700.0
2,400.0
3,0.0
4,400.0
5,800.0
6,800.0
7,1100.0
8,800.0
9,575.0
10,900.0
11,2850.0
12,1150.0
13,2600.0
14,1500.0
15,1500.0
16,1700.0
17,1200.0
18,1000.0
19,1000.0
20,2300.0
21,2200.0
22,2500.0
23,3100.0
24,2500.0
25,2500.0
26,2500.0
27,2500.0
28,2500.0
29,3000.0
30,3000.0
31,3000.0
32,3500.0
33,3500.0
34,4000.0
35,4500.0
36,5000.0
37,4000.0
38,3000.0
39,6000.0
40,6000.0
41,4000.0
42,6000.0
43,4000.0
44,4000.0
45,4000.0
46,4000.0
47,4000.0
48,4000.0
49,4000.0
50,0.0
