period,order_quantity
1,581.0
2,115.0
3,138.0
4,368.0
5,440.0
6,540.0
7,632.0
8,656.0
9,743.0
10,811.0
11,905.0
12,1014.0
13,1138.0
14,1203.0
15,1306.0
16,1392.0
17,1488.0
18,1568.0
19,1684.0
20,1760.0
21,1870.0
22,1977.0
23,2090.0
24,2174.0
25,2291.0
26,2389.0
27,2471.0
28,2550.0
29,2664.0
30,2773.0
31,2875.0
32,2981.0
33,3076.0
34,3181.0
35,3279.0
36,3392.0
37,3477.0
38,3588.0
39,3713.0
40,3819.0
41,3906.0
42,3995.0
43,4085.0
44,4193.0
45,4297.0
46,4403.0
47,4503.0
48,4620.0
49,4718.0
50,4762.0
