[2026-02-07 21:57:09] Starting parallel batch run
[2026-02-07 21:57:09] Instances to process: 189
[2026-02-07 21:57:09] Master log: /shared/share_malatown/OR-Agent-GPT5mini-benchmark/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_215709.txt
[2026-02-07 21:57:09] 
Starting 189 instances with 20 parallel workers...
[2026-02-07 22:03:36] [1/189] SUCCESS: 243937001
[2026-02-07 22:03:51] [2/189] SUCCESS: 399087021
[2026-02-07 22:03:54] [3/189] SUCCESS: 399061008
[2026-02-07 22:04:00] [4/189] SUCCESS: 372860024
[2026-02-07 22:04:00] [5/189] SUCCESS: 372860002
[2026-02-07 22:04:03] [6/189] SUCCESS: 316441001
[2026-02-07 22:04:06] [7/189] SUCCESS: 396135007
[2026-02-07 22:04:09] [8/189] SUCCESS: 399223034
[2026-02-07 22:04:11] [9/189] SUCCESS: 305931001
[2026-02-07 22:04:21] [10/189] SUCCESS: 399087030
[2026-02-07 22:04:28] [11/189] SUCCESS: 253448003
[2026-02-07 22:04:29] [12/189] SUCCESS: 189616008
[2026-02-07 22:04:36] [13/189] SUCCESS: 399223001
[2026-02-07 22:04:41] [14/189] SUCCESS: 253448001
[2026-02-07 22:04:44] [15/189] SUCCESS: 189634001
[2026-02-07 22:05:08] [16/189] SUCCESS: 294008002
[2026-02-07 22:05:21] [17/189] SUCCESS: 399223033
[2026-02-07 22:05:21] [18/189] SUCCESS: 399087014
[2026-02-07 22:05:27] [19/189] SUCCESS: 224606019
[2026-02-07 22:05:39] [20/189] SUCCESS: 372860001
[2026-02-07 22:10:21] [21/189] SUCCESS: 399256005
[2026-02-07 22:10:30] [22/189] SUCCESS: 399256023
[2026-02-07 22:10:52] [23/189] SUCCESS: 399256018
[2026-02-07 22:10:53] [24/189] SUCCESS: 399223035
[2026-02-07 22:11:02] [25/189] SUCCESS: 457892003
[2026-02-07 22:11:08] [26/189] SUCCESS: 458239001
[2026-02-07 22:11:15] [27/189] SUCCESS: 465655010
[2026-02-07 22:11:17] [28/189] SUCCESS: 399256032
[2026-02-07 22:11:22] [29/189] SUCCESS: 448509014
[2026-02-07 22:11:31] [30/189] SUCCESS: 465655019
[2026-02-07 22:11:32] [31/189] SUCCESS: 399256001
[2026-02-07 22:11:46] [32/189] SUCCESS: 448509001
[2026-02-07 22:11:49] [33/189] SUCCESS: 464297007
[2026-02-07 22:11:52] [34/189] SUCCESS: 470789001
[2026-02-07 22:12:06] [35/189] SUCCESS: 487722001
[2026-02-07 22:12:11] [36/189] SUCCESS: 506098007
[2026-02-07 22:12:12] [37/189] SUCCESS: 473954008
[2026-02-07 22:12:22] [38/189] SUCCESS: 507883014
[2026-02-07 22:12:35] [39/189] SUCCESS: 507883009
[2026-02-07 22:12:54] [40/189] SUCCESS: 464908002
[2026-02-07 22:17:08] [41/189] SUCCESS: 507909001
[2026-02-07 22:17:37] [42/189] SUCCESS: 516859008
[2026-02-07 22:17:41] [43/189] SUCCESS: 538699001
[2026-02-07 22:17:43] [44/189] SUCCESS: 516903005
[2026-02-07 22:17:48] [45/189] SUCCESS: 507909003
[2026-02-07 22:17:56] [46/189] SUCCESS: 536139006
[2026-02-07 22:17:57] [47/189] SUCCESS: 538699007
[2026-02-07 22:18:25] [48/189] SUCCESS: 554479001
[2026-02-07 22:18:48] [49/189] SUCCESS: 536139010
[2026-02-07 22:18:49] [50/189] SUCCESS: 554598038
[2026-02-07 22:18:51] [51/189] SUCCESS: 554477005
[2026-02-07 22:18:54] [52/189] SUCCESS: 554450004
[2026-02-07 22:18:54] [53/189] SUCCESS: 547780001
[2026-02-07 22:18:55] [54/189] SUCCESS: 554450019
[2026-02-07 22:19:02] [55/189] SUCCESS: 554450001
[2026-02-07 22:19:03] [56/189] SUCCESS: 554598057
[2026-02-07 22:19:06] [57/189] SUCCESS: 554598047
[2026-02-07 22:19:28] [58/189] SUCCESS: 554598001
[2026-02-07 22:19:32] [59/189] SUCCESS: 554450027
[2026-02-07 22:19:33] [60/189] SUCCESS: 554450036
[2026-02-07 22:24:01] [61/189] SUCCESS: 554772002
[2026-02-07 22:24:49] [62/189] SUCCESS: 561445005
[2026-02-07 22:24:50] [63/189] SUCCESS: 561445006
[2026-02-07 22:24:52] [64/189] SUCCESS: 554792001
[2026-02-07 22:24:55] [65/189] SUCCESS: 565379001
[2026-02-07 22:25:07] [66/189] SUCCESS: 562245018
[2026-02-07 22:25:10] [67/189] SUCCESS: 554772003
[2026-02-07 22:25:24] [68/189] SUCCESS: 573085004
[2026-02-07 22:25:28] [69/189] SUCCESS: 562245046
[2026-02-07 22:25:34] [70/189] SUCCESS: 562245050
[2026-02-07 22:25:44] [71/189] SUCCESS: 568808001
[2026-02-07 22:25:56] [72/189] SUCCESS: 572797002
[2026-02-07 22:26:06] [73/189] SUCCESS: 562245062
[2026-02-07 22:26:14] [74/189] SUCCESS: 570003002
[2026-02-07 22:26:29] [75/189] SUCCESS: 573716012
[2026-02-07 22:26:55] [76/189] SUCCESS: 568597006
[2026-02-07 22:27:15] [77/189] SUCCESS: 568601006
[2026-02-07 22:27:20] [78/189] SUCCESS: 573085028
[2026-02-07 22:27:24] [79/189] SUCCESS: 572797001
[2026-02-07 22:27:29] [80/189] SUCCESS: 573937001
[2026-02-07 22:30:40] [81/189] SUCCESS: 574109012
[2026-02-07 22:31:09] [82/189] SUCCESS: 583534002
[2026-02-07 22:32:09] [83/189] SUCCESS: 580770001
[2026-02-07 22:32:18] [84/189] SUCCESS: 575347003
[2026-02-07 22:32:18] [85/189] SUCCESS: 579302001
[2026-02-07 22:32:29] [86/189] SUCCESS: 579541001
[2026-02-07 22:32:31] [87/189] SUCCESS: 578476001
[2026-02-07 22:32:36] [88/189] SUCCESS: 608458001
[2026-02-07 22:32:38] [89/189] SUCCESS: 599580017
[2026-02-07 22:32:51] [90/189] SUCCESS: 603145001
[2026-02-07 22:33:06] [91/189] SUCCESS: 591334019
[2026-02-07 22:33:14] [92/189] SUCCESS: 605094001
[2026-02-07 22:33:21] [93/189] SUCCESS: 610776001
[2026-02-07 22:33:53] [94/189] SUCCESS: 608776002
[2026-02-07 22:33:56] [95/189] SUCCESS: 589748001
[2026-02-07 22:33:57] [96/189] SUCCESS: 610776028
[2026-02-07 22:34:04] [97/189] SUCCESS: 610776033
[2026-02-07 22:34:17] [98/189] SUCCESS: 610776022
[2026-02-07 22:34:36] [99/189] SUCCESS: 610776002
[2026-02-07 22:35:03] [100/189] SUCCESS: 611415001
