[2026-02-07 19:57:09] Starting parallel batch run
[2026-02-07 19:57:09] Instances to process: 240
[2026-02-07 19:57:09] Master log: D:\TextArena\examples\benchmark\synthetic_trajectory\lead_time_4\batch_log_20260207_195709.txt
[2026-02-07 19:57:09] 
Starting 240 instances with 3 parallel workers...
[2026-02-07 20:11:03] [1/240] SUCCESS: r1_med
[2026-02-07 20:11:40] [2/240] SUCCESS: r1_high
[2026-02-07 20:12:09] [3/240] SUCCESS: r1_low
[2026-02-07 20:24:14] [4/240] SUCCESS: r2_med
[2026-02-07 20:24:55] [5/240] SUCCESS: r2_low
[2026-02-07 20:25:20] [6/240] SUCCESS: r2_high
[2026-02-07 20:37:35] [7/240] SUCCESS: r1_low
[2026-02-07 20:37:43] [8/240] SUCCESS: r1_high
[2026-02-07 20:38:59] [9/240] SUCCESS: r1_med
[2026-02-07 20:50:09] [10/240] SUCCESS: r2_high
[2026-02-07 20:50:35] [11/240] SUCCESS: r2_low
[2026-02-07 20:51:23] [12/240] SUCCESS: r2_med
[2026-02-07 21:04:31] [13/240] SUCCESS: r1_low
[2026-02-07 21:04:45] [14/240] SUCCESS: r1_high
[2026-02-07 21:04:53] [15/240] SUCCESS: r1_med
[2026-02-07 21:17:39] [16/240] SUCCESS: r2_low
[2026-02-07 21:17:56] [17/240] SUCCESS: r2_high
[2026-02-07 21:19:06] [18/240] SUCCESS: r2_med
