[2026-02-07 01:11:48] Starting parallel batch run
[2026-02-07 01:11:48] Instances to process: 197
[2026-02-07 01:11:48] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/real_trajectory/lead_time_4/batch_log_20260207_011148.txt
[2026-02-07 01:11:48] 
Starting 197 instances with 3 parallel workers...
[2026-02-07 01:26:09] [1/197] SUCCESS: 148033001
[2026-02-07 01:26:59] [2/197] SUCCESS: 156231001
[2026-02-07 01:28:05] [3/197] SUCCESS: 160442007
[2026-02-07 01:42:38] [4/197] SUCCESS: 160442043
[2026-02-07 01:43:50] [5/197] SUCCESS: 160442010
[2026-02-07 01:44:08] [6/197] SUCCESS: 179123001
[2026-02-07 01:58:13] [7/197] SUCCESS: 189616008
[2026-02-07 01:59:27] [8/197] SUCCESS: 179950001
[2026-02-07 01:59:41] [9/197] SUCCESS: 189616006
[2026-02-07 02:14:17] [10/197] SUCCESS: 243937001
[2026-02-07 02:14:48] [11/197] SUCCESS: 189634001
[2026-02-07 02:17:17] [12/197] SUCCESS: 224606019
[2026-02-07 02:29:49] [13/197] SUCCESS: 253448003
[2026-02-07 02:31:22] [14/197] SUCCESS: 253448001
[2026-02-07 02:34:43] [15/197] SUCCESS: 294008002
[2026-02-07 02:43:33] [16/197] SUCCESS: 305931001
[2026-02-07 02:47:56] [17/197] SUCCESS: 316441001
[2026-02-07 02:52:40] [18/197] SUCCESS: 372860001
[2026-02-07 02:58:51] [19/197] SUCCESS: 372860002
[2026-02-07 03:05:02] [20/197] SUCCESS: 372860024
[2026-02-07 03:07:30] [21/197] SUCCESS: 396135007
[2026-02-07 03:15:21] [22/197] SUCCESS: 399061008
[2026-02-07 03:21:40] [23/197] SUCCESS: 399087021
[2026-02-07 03:22:56] [24/197] SUCCESS: 399087014
[2026-02-07 03:31:07] [25/197] SUCCESS: 399087030
[2026-02-07 03:38:04] [26/197] SUCCESS: 399223001
[2026-02-07 03:42:27] [27/197] SUCCESS: 399223033
[2026-02-07 03:48:12] [28/197] SUCCESS: 399223034
[2026-02-07 03:58:06] [29/197] SUCCESS: 399223035
[2026-02-07 03:58:34] [30/197] SUCCESS: 399256001
[2026-02-07 04:05:06] [31/197] SUCCESS: 399256005
[2026-02-07 04:15:25] [32/197] SUCCESS: 399256018
[2026-02-07 04:15:38] [33/197] SUCCESS: 399256023
[2026-02-07 04:21:59] [34/197] SUCCESS: 399256032
[2026-02-07 04:32:23] [35/197] SUCCESS: 448509014
[2026-02-07 04:36:47] [36/197] SUCCESS: 448509001
[2026-02-07 04:39:10] [37/197] SUCCESS: 457892003
