[2026-02-07 01:11:46] Starting parallel batch run
[2026-02-07 01:11:46] Instances to process: 237
[2026-02-07 01:11:46] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_0/batch_log_20260207_011146.txt
[2026-02-07 01:11:46] 
Starting 237 instances with 3 parallel workers...
[2026-02-07 01:25:14] [1/237] SUCCESS: r2_high
[2026-02-07 01:25:59] [2/237] SUCCESS: r2_med
[2026-02-07 01:26:18] [3/237] SUCCESS: r2_low
[2026-02-07 01:40:09] [4/237] SUCCESS: r1_high
[2026-02-07 01:41:11] [5/237] SUCCESS: r1_low
[2026-02-07 01:41:26] [6/237] SUCCESS: r1_med
[2026-02-07 01:53:28] [7/237] SUCCESS: r2_high
[2026-02-07 01:55:00] [8/237] SUCCESS: r2_low
[2026-02-07 01:56:29] [9/237] SUCCESS: r2_med
[2026-02-07 02:03:54] [10/237] SUCCESS: r1_high
[2026-02-07 02:06:35] [11/237] SUCCESS: r1_low
[2026-02-07 02:08:07] [12/237] SUCCESS: r1_med
[2026-02-07 02:18:37] [13/237] SUCCESS: r2_high
[2026-02-07 02:20:02] [14/237] SUCCESS: r2_low
[2026-02-07 02:21:43] [15/237] SUCCESS: r2_med
[2026-02-07 02:35:17] [16/237] SUCCESS: r1_high
[2026-02-07 02:35:33] [17/237] SUCCESS: r1_low
[2026-02-07 02:38:15] [18/237] SUCCESS: r1_med
[2026-02-07 02:50:01] [19/237] SUCCESS: r2_high
[2026-02-07 02:51:37] [20/237] SUCCESS: r2_low
[2026-02-07 02:52:51] [21/237] SUCCESS: r2_med
[2026-02-07 03:01:59] [22/237] SUCCESS: r1_high
[2026-02-07 03:07:29] [23/237] SUCCESS: r1_med
[2026-02-07 03:09:12] [24/237] SUCCESS: r1_low
[2026-02-07 03:15:42] [25/237] SUCCESS: r2_high
[2026-02-07 03:23:14] [26/237] SUCCESS: r2_low
[2026-02-07 03:24:26] [27/237] SUCCESS: r2_med
[2026-02-07 03:28:52] [28/237] SUCCESS: r1_high
[2026-02-07 03:37:39] [29/237] SUCCESS: r1_low
[2026-02-07 03:40:05] [30/237] SUCCESS: r1_med
[2026-02-07 03:44:29] [31/237] SUCCESS: r2_high
[2026-02-07 03:53:18] [32/237] SUCCESS: r2_low
[2026-02-07 03:54:22] [33/237] SUCCESS: r2_med
[2026-02-07 03:59:19] [34/237] SUCCESS: r1_high
[2026-02-07 04:07:58] [35/237] SUCCESS: r1_med
[2026-02-07 04:09:28] [36/237] SUCCESS: r1_low
[2026-02-07 04:12:30] [37/237] SUCCESS: r2_high
[2026-02-07 04:20:56] [38/237] SUCCESS: r2_low
[2026-02-07 04:22:08] [39/237] SUCCESS: r2_med
[2026-02-07 04:26:11] [40/237] SUCCESS: r1_high
[2026-02-07 04:35:28] [41/237] SUCCESS: r1_med
[2026-02-07 04:36:47] [42/237] SUCCESS: r1_low
[2026-02-07 04:37:35] [43/237] SUCCESS: r2_high
[2026-02-07 04:49:19] [44/237] SUCCESS: r2_low
[2026-02-07 04:50:43] [45/237] SUCCESS: r2_med
[2026-02-07 04:55:17] [46/237] SUCCESS: r1_high
[2026-02-07 05:05:19] [47/237] SUCCESS: r1_low
[2026-02-07 05:06:09] [48/237] SUCCESS: r1_med
[2026-02-07 05:09:44] [49/237] SUCCESS: r2_high
[2026-02-07 05:20:01] [50/237] SUCCESS: r2_low
[2026-02-07 05:20:48] [51/237] SUCCESS: r2_med
[2026-02-07 05:23:48] [52/237] SUCCESS: r1_high
[2026-02-07 05:36:01] [53/237] SUCCESS: r1_med
[2026-02-07 05:36:57] [54/237] SUCCESS: r1_low
[2026-02-07 05:39:51] [55/237] SUCCESS: r2_high
[2026-02-07 05:52:17] [56/237] SUCCESS: r2_med
[2026-02-07 05:53:51] [57/237] SUCCESS: r2_low
[2026-02-07 05:54:56] [58/237] SUCCESS: r1_high
[2026-02-07 06:07:31] [59/237] SUCCESS: r1_low
[2026-02-07 06:10:05] [60/237] SUCCESS: r1_med
[2026-02-07 06:11:43] [61/237] SUCCESS: r2_high
[2026-02-07 06:24:32] [62/237] SUCCESS: r2_low
[2026-02-07 06:26:03] [63/237] SUCCESS: r2_med
[2026-02-07 06:26:50] [64/237] SUCCESS: r1_high
[2026-02-07 06:41:03] [65/237] SUCCESS: r1_low
[2026-02-07 06:41:44] [66/237] SUCCESS: r1_med
[2026-02-07 06:43:10] [67/237] SUCCESS: r2_high
[2026-02-07 06:55:41] [68/237] SUCCESS: r2_low
[2026-02-07 06:59:06] [69/237] SUCCESS: r2_med
[2026-02-07 07:00:47] [70/237] SUCCESS: r1_high
[2026-02-07 07:15:41] [71/237] SUCCESS: r1_med
[2026-02-07 07:17:31] [72/237] SUCCESS: r1_low
[2026-02-07 07:17:53] [73/237] SUCCESS: r2_high
[2026-02-07 07:33:26] [74/237] SUCCESS: r1_high
[2026-02-07 07:35:38] [75/237] SUCCESS: r2_med
[2026-02-07 07:40:45] [76/237] SUCCESS: r2_low
[2026-02-07 07:48:46] [77/237] SUCCESS: r1_low
[2026-02-07 07:50:36] [78/237] SUCCESS: r1_med
[2026-02-07 07:55:30] [79/237] SUCCESS: r2_high
[2026-02-07 08:05:27] [80/237] SUCCESS: r2_low
[2026-02-07 08:06:03] [81/237] SUCCESS: r2_med
[2026-02-07 08:11:01] [82/237] SUCCESS: r1_high
[2026-02-07 08:21:21] [83/237] SUCCESS: r1_med
[2026-02-07 08:22:08] [84/237] SUCCESS: r1_low
[2026-02-07 08:26:07] [85/237] SUCCESS: r2_high
[2026-02-07 08:39:13] [86/237] SUCCESS: r2_low
[2026-02-07 08:40:28] [87/237] SUCCESS: r2_med
[2026-02-07 08:43:39] [88/237] SUCCESS: r1_high
[2026-02-07 08:56:57] [89/237] SUCCESS: r1_med
[2026-02-07 08:57:33] [90/237] SUCCESS: r1_low
[2026-02-07 08:59:23] [91/237] SUCCESS: r2_high
[2026-02-07 09:18:55] [92/237] SUCCESS: r1_high
[2026-02-07 09:19:08] [93/237] SUCCESS: r2_med
[2026-02-07 09:20:28] [94/237] SUCCESS: r2_low
[2026-02-07 09:36:20] [95/237] SUCCESS: r1_med
[2026-02-07 09:36:46] [96/237] SUCCESS: r1_low
[2026-02-07 09:38:00] [97/237] SUCCESS: r2_high
[2026-02-07 09:51:48] [98/237] SUCCESS: r2_med
[2026-02-07 09:53:27] [99/237] SUCCESS: r2_low
[2026-02-07 09:54:54] [100/237] SUCCESS: r1_high
[2026-02-07 10:09:24] [101/237] SUCCESS: r1_low
[2026-02-07 10:12:18] [102/237] SUCCESS: r1_med
[2026-02-07 10:13:25] [103/237] SUCCESS: r2_high
[2026-02-07 10:27:14] [104/237] SUCCESS: r2_low
[2026-02-07 10:28:14] [105/237] SUCCESS: r1_high
[2026-02-07 10:29:13] [106/237] SUCCESS: r2_med
[2026-02-07 10:43:14] [107/237] SUCCESS: r1_low
[2026-02-07 10:43:23] [108/237] SUCCESS: r1_med
[2026-02-07 10:45:11] [109/237] SUCCESS: r2_high
[2026-02-07 10:59:45] [110/237] SUCCESS: r2_med
[2026-02-07 11:02:14] [111/237] SUCCESS: r2_low
[2026-02-07 11:04:02] [112/237] SUCCESS: r1_high
[2026-02-07 11:20:27] [113/237] SUCCESS: r1_med
[2026-02-07 11:20:35] [114/237] SUCCESS: r1_low
[2026-02-07 11:21:51] [115/237] SUCCESS: r2_high
[2026-02-07 11:36:47] [116/237] SUCCESS: r2_med
[2026-02-07 11:39:11] [117/237] SUCCESS: r2_low
[2026-02-07 11:40:20] [118/237] SUCCESS: r1_high
[2026-02-07 11:55:35] [119/237] SUCCESS: r1_low
[2026-02-07 11:57:49] [120/237] SUCCESS: r2_high
[2026-02-07 11:59:59] [121/237] SUCCESS: r1_med
[2026-02-07 12:14:33] [122/237] SUCCESS: r2_med
[2026-02-07 12:16:28] [123/237] SUCCESS: r2_low
[2026-02-07 12:24:35] [124/237] SUCCESS: r1_high
[2026-02-07 12:32:34] [125/237] SUCCESS: r1_low
[2026-02-07 12:33:18] [126/237] SUCCESS: r1_med
[2026-02-07 12:39:59] [127/237] SUCCESS: r2_high
[2026-02-07 12:52:01] [128/237] SUCCESS: r2_med
[2026-02-07 12:52:46] [129/237] SUCCESS: r2_low
[2026-02-07 12:58:35] [130/237] SUCCESS: r1_high
[2026-02-07 13:07:15] [131/237] SUCCESS: r1_med
[2026-02-07 13:08:07] [132/237] SUCCESS: r1_low
[2026-02-07 13:14:19] [133/237] SUCCESS: r2_high
[2026-02-07 13:24:35] [134/237] SUCCESS: r2_med
[2026-02-07 13:24:47] [135/237] SUCCESS: r2_low
[2026-02-07 13:30:14] [136/237] SUCCESS: r1_high
[2026-02-07 13:39:14] [137/237] SUCCESS: r1_med
[2026-02-07 13:40:18] [138/237] SUCCESS: r1_low
[2026-02-07 13:47:39] [139/237] SUCCESS: r2_high
[2026-02-07 13:57:23] [140/237] SUCCESS: r2_med
[2026-02-07 13:57:41] [141/237] SUCCESS: r2_low
