[2026-02-07 01:11:47] Starting parallel batch run
[2026-02-07 01:11:47] Instances to process: 240
[2026-02-07 01:11:47] Master log: /shared/share_malatown/OR_Agent/examples/benchmark/synthetic_trajectory/lead_time_stochastic/batch_log_20260207_011147.txt
[2026-02-07 01:11:47] 
Starting 240 instances with 3 parallel workers...
[2026-02-07 01:45:31] [1/240] SUCCESS: r1_low
[2026-02-07 01:47:05] [2/240] SUCCESS: r1_med
[2026-02-07 01:54:40] [3/240] SUCCESS: r1_high
[2026-02-07 02:21:17] [4/240] SUCCESS: r2_high
[2026-02-07 02:22:35] [5/240] SUCCESS: r2_low
[2026-02-07 02:31:29] [6/240] SUCCESS: r2_med
[2026-02-07 02:55:38] [7/240] SUCCESS: r1_low
[2026-02-07 03:02:35] [8/240] SUCCESS: r1_high
[2026-02-07 03:11:35] [9/240] SUCCESS: r1_med
[2026-02-07 03:28:23] [10/240] SUCCESS: r2_high
[2026-02-07 03:39:06] [11/240] SUCCESS: r2_low
[2026-02-07 03:46:09] [12/240] SUCCESS: r2_med
[2026-02-07 04:07:53] [13/240] SUCCESS: r1_high
[2026-02-07 04:16:18] [14/240] SUCCESS: r1_low
[2026-02-07 04:22:13] [15/240] SUCCESS: r1_med
[2026-02-07 04:46:46] [16/240] SUCCESS: r2_high
[2026-02-07 04:54:27] [17/240] SUCCESS: r2_low
[2026-02-07 04:57:58] [18/240] SUCCESS: r2_med
[2026-02-07 05:26:17] [19/240] SUCCESS: r1_high
[2026-02-07 05:28:42] [20/240] SUCCESS: r1_low
[2026-02-07 05:29:38] [21/240] SUCCESS: r1_med
[2026-02-07 06:02:16] [22/240] SUCCESS: r2_high
[2026-02-07 06:02:25] [23/240] SUCCESS: r2_med
[2026-02-07 06:07:29] [24/240] SUCCESS: r2_low
[2026-02-07 06:36:47] [25/240] SUCCESS: r1_high
[2026-02-07 06:37:07] [26/240] SUCCESS: r1_low
[2026-02-07 06:40:02] [27/240] SUCCESS: r1_med
[2026-02-07 07:11:02] [28/240] SUCCESS: r2_high
[2026-02-07 07:14:11] [29/240] SUCCESS: r2_med
[2026-02-07 07:20:25] [30/240] SUCCESS: r2_low
[2026-02-07 07:44:32] [31/240] SUCCESS: r1_high
[2026-02-07 07:53:27] [32/240] SUCCESS: r1_low
[2026-02-07 07:54:32] [33/240] SUCCESS: r1_med
[2026-02-07 08:22:42] [34/240] SUCCESS: r2_high
[2026-02-07 08:30:48] [35/240] SUCCESS: r2_low
[2026-02-07 08:31:36] [36/240] SUCCESS: r2_med
[2026-02-07 08:56:08] [37/240] SUCCESS: r1_high
[2026-02-07 09:07:03] [38/240] SUCCESS: r1_low
[2026-02-07 09:11:01] [39/240] SUCCESS: r1_med
[2026-02-07 09:33:51] [40/240] SUCCESS: r2_high
[2026-02-07 09:45:29] [41/240] SUCCESS: r2_low
[2026-02-07 09:53:12] [42/240] SUCCESS: r2_med
[2026-02-07 10:07:21] [43/240] SUCCESS: r1_high
[2026-02-07 10:25:12] [44/240] SUCCESS: r1_low
[2026-02-07 10:29:06] [45/240] SUCCESS: r1_med
[2026-02-07 10:41:45] [46/240] SUCCESS: r2_high
[2026-02-07 11:01:33] [47/240] SUCCESS: r2_low
[2026-02-07 11:08:25] [48/240] SUCCESS: r2_med
[2026-02-07 11:16:20] [49/240] SUCCESS: r1_high
[2026-02-07 11:41:31] [50/240] SUCCESS: r1_low
[2026-02-07 11:44:56] [51/240] SUCCESS: r1_med
[2026-02-07 12:01:22] [52/240] SUCCESS: r2_high
[2026-02-07 12:20:17] [53/240] SUCCESS: r2_med
[2026-02-07 12:25:25] [54/240] SUCCESS: r2_low
[2026-02-07 12:39:58] [55/240] SUCCESS: r1_high
[2026-02-07 12:56:37] [56/240] SUCCESS: r1_low
[2026-02-07 13:05:59] [57/240] SUCCESS: r1_med
[2026-02-07 13:18:11] [58/240] SUCCESS: r2_high
[2026-02-07 13:38:55] [59/240] SUCCESS: r2_low
[2026-02-07 13:49:29] [60/240] SUCCESS: r2_med
[2026-02-07 14:02:12] [61/240] SUCCESS: r1_high
[2026-02-07 14:12:59] [62/240] SUCCESS: r1_low
[2026-02-07 14:31:13] [63/240] SUCCESS: r1_med
[2026-02-07 14:38:33] [64/240] SUCCESS: r2_high
[2026-02-07 14:48:58] [65/240] SUCCESS: r2_low
[2026-02-07 15:09:43] [66/240] SUCCESS: r2_med
[2026-02-07 15:18:55] [67/240] SUCCESS: r1_high
[2026-02-07 15:30:08] [68/240] SUCCESS: r1_low
[2026-02-07 15:46:56] [69/240] SUCCESS: r1_med
[2026-02-07 15:59:31] [70/240] SUCCESS: r2_high
[2026-02-07 16:12:27] [71/240] SUCCESS: r2_low
[2026-02-07 16:26:09] [72/240] SUCCESS: r2_med
[2026-02-07 16:35:23] [73/240] SUCCESS: r1_high
[2026-02-07 16:47:00] [74/240] SUCCESS: r1_low
[2026-02-07 17:00:07] [75/240] SUCCESS: r1_med
[2026-02-07 17:09:38] [76/240] SUCCESS: r2_high
[2026-02-07 17:20:14] [77/240] SUCCESS: r2_low
[2026-02-07 17:30:09] [78/240] SUCCESS: r2_med
[2026-02-07 17:47:23] [79/240] SUCCESS: r1_high
[2026-02-07 17:58:57] [80/240] SUCCESS: r1_low
[2026-02-07 18:11:44] [81/240] SUCCESS: r1_med
[2026-02-07 18:16:58] [82/240] SUCCESS: r2_high
[2026-02-07 18:39:48] [83/240] SUCCESS: r2_low
[2026-02-07 18:42:31] [84/240] SUCCESS: r1_high
[2026-02-07 18:50:48] [85/240] SUCCESS: r2_med
[2026-02-07 19:13:30] [86/240] SUCCESS: r1_med
[2026-02-07 19:16:57] [87/240] SUCCESS: r1_low
[2026-02-07 19:28:23] [88/240] SUCCESS: r2_high
[2026-02-07 19:49:37] [89/240] SUCCESS: r2_low
[2026-02-07 19:59:28] [90/240] SUCCESS: r2_med
[2026-02-07 20:02:03] [91/240] SUCCESS: r1_high
